Auction ID,Bank/Organisation Name,City/District/Location,Auction Date,Reserve Price,Source
67919,Canara Bank,"Purba Bardhaman, Kolkata, West Bengal",07/08/2025,"₹47,40,000",Albion
65805,Repco Home Finance,"Kanchipuram, Tamil Nadu",07/08/2025,"₹17,60,000",Albion
65842,Repco Home Finance,"Tiruvallur, Tamil Nadu",07/08/2025,"₹27,29,000",Albion
65018,Bank of India,"Uttarahalli, Bangalore Urba, Karnataka",07/08/2025,"₹61,32,000",Albion
66479,Nido Home Finance,"Namakkal, Tamil Nadu",07/08/2025,"₹63,60,030",Albion
66480,Nido Home Finance,"Tirupur, Tamil Nadu",07/08/2025,"₹24,44,500",Albion
66487,Nido Home Finance,"Chengalpet, Tamil Nadu",07/08/2025,"₹84,00,000",Albion
66494,Nido Home Finance,"Tiruvannamalai, Tamil Nadu",07/08/2025,"₹31,51,000",Albion
66778,Repco Home Finance,"Tenkasi, Tamil Nadu",07/08/2025,"₹32,16,000",Albion
66830,Nido Home Finance,"Vellore, Tamil Nadu",07/08/2025,"₹17,70,274",Albion
67953,Canara Bank,"Tirupur, Tamil Nadu",07/08/2025,"₹6,40,000",Albion
67954,Canara Bank,"Tirupur, Tamil Nadu",07/08/2025,"₹14,00,000",Albion
67955,Canara Bank,"Tirupur, Tamil Nadu",07/08/2025,"₹24,00,000",Albion
67956,Canara Bank,"Tirupur, Tamil Nadu",07/08/2025,"₹1,78,00,000",Albion
67957,Canara Bank,"Tirupur, Tamil Nadu",07/08/2025,"₹16,10,000",Albion
67958,Canara Bank,"Coimbatore, Tamil Nadu",07/08/2025,"₹58,50,000",Albion
67963,Equitas Small Finance Bank,"Viluppuram, Tamil Nadu",07/08/2025,"₹19,23,000",Albion
